NVPN,Qty,LOCATION
080-1337-000,1,J501
115-1536-000,1,U502
032-1051-000,88,"C42, C907, C659, C881, C948, C960, C641, C621, C570, C894, C922, C718, C888, C778, C899, C890, C509, C909, C685, C903, C723, C579, C703, C592, C944, C908, C863, C895, C502, C886, C985, C586, C600, C697, C702, C733, C919, C674, C658, C943, C583, C596, C35, C817, C917, C683, C912, C623, C765, C906, C893, C722, C793, C889, C589, C700, C563, C896, C804, C30, C508, C668, C657, C656, C977, C961, C869, C928, C516, C631, C918, C680, C661, C710, C978, C897, C669, C811, C914, C618, C50, C29, C684, C727, C891, C599, C898, C655"
032-1090-000,6,"C60, C62, C84, C57, C109, C83"
,1,C6
315-1013-000,1,U3
032-0122-000,102,"C20, C900, C756, C64, C732, C794, C652, C726, C714, C549, C510, C904, C814, C874, C687, C545, C867, C593, C691, C12, C106, C63, C25, C630, C769, C831, C648, C100, C59, C82, C505, C635, C830, C61, C916, C856, C777, C720, C875, C54, C974, C829, C729, C23, C597, C693, C580, C845, C717, C839, C816, C601, C634, C647, C506, C15, C757, C561, C66, C540, C566, C9, C642, C821, C610, C552, C855, C747, C770, C968, C569, C832, C13, C34, C539, C761, C837, C65, C99, C632, C58, C55, C105, C24, C637, C636, C56, C828, C849, C21, C857, C514, C22, C712, C796, C587, C591, C822, C503, C89, C984, C504"
300-0875-000,4,"Q2, Q1, Q4, Q3"
032-1070-000,24,"C96, C36, C41, C14, C98, C26, C107, C37, C71, C76, C108, C45, C553, C104, C536, C70, C10, C521, C537, C97, C78, C69, C75, C44"
316-0386-000,1,U2
316-0467-000,3,"U507, U503, U501"
032-0119-000,40,"C999, C846, C689, C864, C808, C679, C752, C764, C753, C734, C763, C866, C775, C883, C851, C730, C826, C671, C848, C735, C847, C690, C783, C785, C715, C865, C762, C991, C800, C664, C813, C692, C861, C844, C736, C825, C784, C962, C706, C786"
315-1005-000,2,"U515, U521"
115-2088-000,1,U519
130-0996-000,3,"L10, L8, L9"
115-2082-000,1,U508
032-0833-000,60,"C802, C760, C2, C742, C820, C739, C843, C5, C643, C719, C721, C737, C750, C741, C711, C782, C842, C695, C749, C725, C738, C771, C751, C812, C707, C698, C798, C789, C595, C773, C748, C776, C1, C4, C772, C994, C694, C759, C799, C709, C988, C854, C708, C768, C788, C819, C879, C696, C807, C852, C740, C743, C803, C827, C787, C758, C805, C774, C781, C835"
130-0666-000,1,L12
300-0867-000,13,"Q518, Q513, Q510, Q506, Q516, Q501, Q505, Q514, Q519, Q503, Q517, Q512, Q508"
036-0157-000,183,"C704, C588, C73, C625, C670, C950, C654, C989, C870, C515, C577, C627, C934, C911, C901, C666, C672, C929, C3, C964, C95, C578, C541, C31, C581, C963, C585, C937, C602, C7, C797, C975, C986, C576, C766, C834, C662, C940, C92, C606, C590, C873, C678, C677, C675, C876, C806, C724, C754, C815, C731, C32, C939, C980, C79, C949, C568, C38, C915, C676, C594, C872, C52, C933, C28, C959, C501, C885, C920, C633, C936, C871, C81, C921, C877, C598, C942, C681, C603, C996, C49, C87, C582, C790, C705, C86, C72, C971, C607, C955, C860, C992, C925, C559, C74, C608, C624, C824, C880, C858, C614, C791, C952, C616, C90, C938, C517, C688, C660, C556, C744, C47, C27, C43, C520, C859, C745, C792, C609, C644, C567, C88, C931, C780, C716, C33, C958, C868, C686, C638, C51, C728, C910, C951, C935, C535, C554, C665, C629, C615, C650, C649, C976, C699, C979, C946, C882, C605, C524, C902, C884, C953, C746, C701, C527, C956, C46, C512, C755, C941, C947, C518, C905, C575, C626, C39, C1000, C667, C924, C853, C613, C923, C80, C673, C713, C983, C619, C957, C926, C604, C85, C91, C617"
130-0581-000,1,L3
130-0562-000,5,"L5, L6, L7, L4, L1"
032-0144-000,9,"C892, C966, C982, C525, C16, C11, C967, C653, C534"
215-0149-000,3,"RS4, RS2, RS3"
115-0711-000,2,"U516, U514"
300-0688-000,5,"Q511, Q507, Q509, Q504, Q515"
115-2023-000,1,U510
085-0320-000,1,Y501
115-1965-000,3,"U522, U509, U520"
085-0307-000,1,Y1
115-1824-000,1,U513
115-2220-000,1,U505
174-0174-000,1,U518
090-0220-000,1,D1
085-0304-000,1,Y502
215-0168-000,1,RS1
036-0158-000,5,"C997, C995, C969, C981, C973"
215-0151-000,1,RS501
315-1031-000,1,U504
090-0326-000,4,"D501, D502, D505, D503"
036-0193-000,13,"C533, C543, C531, C522, C530, C529, C663, C513, C511, C507, C526, C528, C523"
032-0453-000,7,"C932, C954, C930, C990, C965, C993, C998"
090-0193-000,1,D504
195-1638-000,29,"R657, LB508, R705, LB506, R531, R538, R521, LB503, LB505, LB512, LB513, LB511, R628, LB504, LB507, R590, LB509, R28, LB516, LB510, R31, R588, R695, R13, R564, R717, R535, R548, LB514"
100-0104-000,3,"LB502, LB501, LB515"
130-0751-000,1,L501
032-0269-000,4,"C565, C17, C550, C645"
100-0070-000,3,"FB502, FB501, FB503"
195-1680-000,13,"R577, R566, R614, R513, R553, R536, R554, R594, R520, R567, R504, R580, R642"
115-1821-000,2,"U511, U506"
032-0321-000,1,C970
032-0346-000,2,"C538, C544"
100-0190-000,1,FB504
035-0142-000,2,"C945, C987"
032-0316-000,3,"C53, C972, C19"
195-0487-000,23,"R665, R674, R573, R646, R643, R636, R654, R683, R662, R713, R575, R693, R666, R702, R612, R606, R648, R653, R712, R503, R634, R571, R506"
195-1602-000,6,"R670, R639, R690, R659, R652, R645"
035-0145-000,1,C927
195-0435-000,2,"R562, R533"
195-0486-000,20,"R629, R691, R540, R711, R707, R716, R623, R33, R675, R576, R613, R541, R12, R549, R706, R694, R651, R557, R696, R722"
195-0002-000,14,"R640, R647, R593, R11, R565, R574, R644, R24, R598, R625, R552, R627, R551, R555"
195-0485-000,17,"R709, R617, R672, R544, R678, R687, R630, R673, R663, R685, R667, R676, R559, R631, R668, R710, R661"
032-0272-000,1,C612
036-0192-000,1,C8
195-0613-000,10,"R589, R581, R501, R682, R586, R502, R578, R585, R679, R505"
032-0381-000,1,C18
195-0482-000,10,"R688, R719, R684, R689, R714, R720, R721, R718, R715, R677"
195-1639-000,9,"R30, R14, R15, R32, R570, R572, R681, R638, R680"
195-2938-000,2,"R569, R599"
195-2961-000,2,"R518, R511"
195-1764-000,4,"R632, R600, R545, R526"
036-0022-000,5,"C779, C77, C40, C102, C101"
032-1033-000,1,C564
036-0140-000,1,C532
036-0122-000,3,"C651, C551, C573"
195-0003-000,4,"R25, R27, R619, R579"
195-2941-000,1,R608
195-0598-000,6,"R649, R546, R18, R671, R17, R507"
195-1357-000,1,R510
195-2881-000,1,R534
195-2884-000,1,R512
195-2992-000,1,R704
195-3488-000,1,R527
195-0150-000,4,"R604, R524, R26, R547"
035-0033-000,2,"C841, C840"
195-0004-000,3,"R517, R607, R529"
195-0005-000,3,"R19, R686, R519"
195-0595-000,3,"R509, R516, R611"
195-0021-000,2,"R561, R532"
195-0185-000,2,"R701, R6"
195-0449-000,2,"R601, R550"
195-0190-000,2,"R560, R602"
195-0194-000,2,"R605, R618"
195-0292-000,2,"R616, R641"
195-0437-000,2,"R637, R615"
036-0007-000,1,C682
195-2679-000,1,R22
036-0212-000,1,C67
036-0246-000,1,C557
195-0006-000,1,R633
195-0016-000,1,R584
195-0045-000,1,R8
195-0050-000,1,R530
195-0091-000,1,R9
195-0120-000,1,R700
195-0164-000,1,R528
195-0318-000,1,R620
195-0329-000,1,R7
195-0337-000,1,R621
195-0345-000,1,R596
195-0385-000,1,R597
195-0065-000,1,R525
195-0597-000,1,R655
195-0339-000,1,R708
195-0415-000,1,R592
195-0475-000,1,R703
195-2655-000,1,R1
195-0596-000,1,R624
161-0198-600,4,"M2, M3, M1, M4"
170-0328-000,1,U512
T186-INT-MID-A2,1,U1
